vessel,hatchdeck,ffmcodes,codprod,packhouse,idpalet,colpal,datescan,hourscan
00302,01A,611124520,0842,7814R,012686,0099,19-Dec-06,1918
00302,01A,611124520,0859,7710F,017852,0099,19-Dec-06,1736
00302,01A,611124520,0859,7814R,012614,0099,19-Dec-06,1937
00302,01A,611124520,0859,7814R,012615,0099,19-Dec-06,1938
00302,01A,611124520,0859,7814R,012622,0099,19-Dec-06,1924
00302,01A,611124520,0859,7814R,012623,0099,19-Dec-06,1937
00302,01A,611124520,0859,7814R,012628,0099,19-Dec-06,1936
00302,01A,611124520,0859,7814R,012630,0099,19-Dec-06,1938
00302,01A,611124520,0859,7814R,012634,0099,19-Dec-06,1937
00302,01A,611124520,0859,7814R,012635,0099,19-Dec-06,1923
00302,01A,611124520,0859,7814R,012642,0099,19-Dec-06,1914
00302,01A,611124520,0859,7814R,012643,0099,19-Dec-06,1938
00302,01A,611124520,0859,7814R,012650,0099,19-Dec-06,1914
00302,01A,611124520,0859,7814R,012656,0099,19-Dec-06,1918
00302,01A,611124520,0859,7814R,012657,0099,19-Dec-06,1924
00302,01A,611124520,0859,7814R,012658,0099,19-Dec-06,1914
00302,01A,611124520,0859,7814R,012661,0099,19-Dec-06,1938
00302,01A,611124520,0859,7814R,012685,0099,19-Dec-06,1913
00302,01A,611124520,0859,7814R,012688,0099,19-Dec-06,1914
00302,01A,611124520,0859,7814R,012689,0099,19-Dec-06,1917
00302,01A,611124520,0859,7904P,003782,0099,19-Dec-06,1649
00302,01A,611124520,0866,7114H,007537,0099,19-Dec-06,1649
00302,01A,611124520,0866,7114H,007549,0099,19-Dec-06,1706
00302,01A,611124520,0866,7114H,010804,0099,19-Dec-06,1751
00302,01A,611124520,0866,7114H,010816,0099,19-Dec-06,1752
00302,01A,611124520,0866,7114H,010989,0099,19-Dec-06,1752
00302,01A,611124520,0866,7114H,010990,0099,19-Dec-06,1752
00302,01A,611124520,0866,7114H,011000,0099,19-Dec-06,1752
00302,01A,611124520,0866,7710F,017851,0099,19-Dec-06,1938
00302,01A,611124520,0866,7802F,002861,0099,19-Dec-06,1706
00302,01A,611124520,0866,7802F,002879,0099,19-Dec-06,1706
00302,01A,611124520,0866,7802F,002882,0099,19-Dec-06,1707
00302,01A,611124520,0866,7802F,002888,0099,19-Dec-06,1707
00302,01A,611124520,0866,7802F,002890,0099,19-Dec-06,1706
00302,01A,611124520,0866,7814R,012568,0099,19-Dec-06,1913
00302,01A,611124520,0866,7814R,012600,0099,19-Dec-06,1914
00302,01A,611124520,0866,7814R,012603,0099,19-Dec-06,1745
00302,01A,611124520,0866,7814R,012612,0099,19-Dec-06,1914
00302,01A,611124520,0866,7814R,012613,0099,19-Dec-06,1740
